year,state,type,energySrc,amount,region
1994,AK,"Electric Generators, Electric Utilities",Petroleum,441197,West
1994,AK,"Electric Generators, Electric Utilities",Wind,0,West
1994,AK,"Combined Heat and Power, Industrial Power",Total,984978,West
1994,AK,"Combined Heat and Power, Industrial Power",Natural Gas,720278,West
1994,AK,"Combined Heat and Power, Industrial Power",Other Biomass,16282,West
1994,AK,"Combined Heat and Power, Industrial Power",Petroleum,110276,West
1994,AK,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,138142,West
1994,AK,"Combined Heat and Power, Commercial Power",Total,219422,West
1994,AK,"Combined Heat and Power, Commercial Power",Coal,208251,West
1994,AK,"Combined Heat and Power, Commercial Power",Petroleum,11171,West
1995,AK,Total Electric Power Industry,Total,6026116,West
1995,AK,Total Electric Power Industry,Coal,528930,West
1995,AK,Total Electric Power Industry,Hydroelectric Conventional,1372115,West
1995,AK,Total Electric Power Industry,Natural Gas,3379573,West
1995,AK,Total Electric Power Industry,Other Biomass,13589,West
1995,AK,Total Electric Power Industry,Petroleum,620564,West
1995,AK,Total Electric Power Industry,Wind,0,West
1995,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,111345,West
1995,AK,"Electric Generators, Electric Utilities",Total,4846922,West
1995,AK,"Electric Generators, Electric Utilities",Coal,309232,West
1995,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,1372115,West
1995,AK,"Electric Generators, Electric Utilities",Natural Gas,2678935,West
1995,AK,"Electric Generators, Electric Utilities",Petroleum,486640,West
1995,AK,"Electric Generators, Electric Utilities",Wind,0,West
1995,AK,"Combined Heat and Power, Industrial Power",Total,949354,West
1995,AK,"Combined Heat and Power, Industrial Power",Natural Gas,700638,West
1995,AK,"Combined Heat and Power, Industrial Power",Other Biomass,13589,West
1995,AK,"Combined Heat and Power, Industrial Power",Petroleum,123782,West
1995,AK,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,111345,West
1995,AK,"Combined Heat and Power, Commercial Power",Total,229840,West
1995,AK,"Combined Heat and Power, Commercial Power",Coal,219698,West
1995,AK,"Combined Heat and Power, Commercial Power",Petroleum,10142,West
1996,AK,Total Electric Power Industry,Total,6128892,West
1996,AK,Total Electric Power Industry,Coal,428736,West
1996,AK,Total Electric Power Industry,Hydroelectric Conventional,1265863,West
