year,state,type,energySrc,amount,region
1994,AK,"Electric Generators, Electric Utilities",Petroleum,441197,west
1994,AK,"Electric Generators, Electric Utilities",Wind,0,west
1994,AK,"combined Heat and Power, Industrial Power",Total,984978,west
1994,AK,"combined Heat and Power, Industrial Power",Natural Gas,720278,west
1994,AK,"combined Heat and Power, Industrial Power",Other Biomass,16282,west
1994,AK,"combined Heat and Power, Industrial Power",Petroleum,110276,west
1994,AK,"combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,138142,west
1994,AK,"combined Heat and Power, Commercial Power",Total,219422,west
1994,AK,"combined Heat and Power, Commercial Power",Coal,208251,west
1994,AK,"combined Heat and Power, Commercial Power",Petroleum,11171,west
1995,AK,Total Electric Power Industry,Total,6026116,west
1995,AK,Total Electric Power Industry,Coal,528930,west
1995,AK,Total Electric Power Industry,Hydroelectric Conventional,1372115,west
1995,AK,Total Electric Power Industry,Natural Gas,3379573,west
1995,AK,Total Electric Power Industry,Other Biomass,13589,west
1995,AK,Total Electric Power Industry,Petroleum,620564,west
1995,AK,Total Electric Power Industry,Wind,0,west
1995,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,111345,west
1995,AK,"Electric Generators, Electric Utilities",Total,4846922,west
1995,AK,"Electric Generators, Electric Utilities",Coal,309232,west
1995,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,1372115,west
1995,AK,"Electric Generators, Electric Utilities",Natural Gas,2678935,west
1995,AK,"Electric Generators, Electric Utilities",Petroleum,486640,west
1995,AK,"Electric Generators, Electric Utilities",Wind,0,west
1995,AK,"combined Heat and Power, Industrial Power",Total,949354,west
1995,AK,"combined Heat and Power, Industrial Power",Natural Gas,700638,west
1995,AK,"combined Heat and Power, Industrial Power",Other Biomass,13589,west
1995,AK,"combined Heat and Power, Industrial Power",Petroleum,123782,west
1995,AK,"combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,111345,west
1995,AK,"combined Heat and Power, Commercial Power",Total,229840,west
1995,AK,"combined Heat and Power, Commercial Power",Coal,219698,west
1995,AK,"combined Heat and Power, Commercial Power",Petroleum,10142,west
1996,AK,Total Electric Power Industry,Total,6128892,west
1996,AK,Total Electric Power Industry,Coal,428736,west
1996,AK,Total Electric Power Industry,Hydroelectric Conventional,1265863,west
1996,AK,Total Electric Power Industry,Natural Gas,3548718,west
